,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
1.18.1.7,91,31,20,20,1,25,38,14,1,1,4,25,59,39,3,4,104,52,2,16,23,2,0,15,7,49,22
2.7.1.87,2,1,22,2,0,2,0,2,0,0,0,14,13,5,2,1,49,5,2,16,2,27,36,38,1,1,2
4.2.1.59,77,181,53,31,92,1319,221,355,62,0,191,45,67,105,0,67,216,52,3,6,1,15,5,90,12,234,2
3.5.1.42,40,46,17,15,0,27,32,25,20,2,2,21,24,23,10,2,6,7,7,10,1,21,0,17,4,3,26
1.1.1.343,253,62,45,15,0,1,35,16,23,50,41,11,23,0,2,1,26,34,0,22,10,17,1,54,97,12,60
1.2.1.46,0,1,0,1,0,3,0,0,28,4,0,18,1,0,3,0,2,13,6,0,0,2,0,4,0,5,28
1.14.14.1,6,2,1,4,0,1,1,0,1,0,1,0,3,0,0,0,0,0,1,1,0,3,0,10,1,0,4
1.11.1.18,3,117,43,25,0,1,29,6,15,19,44,145,3,1,3,0,36,17,0,37,0,55,17,77,20,2,107
3.1.1.72,356,186,56,520,0,140,101,127,128,76,6,150,331,60,45,35,213,169,389,543,40,218,69,77,27,137,229
2.1.1.288,3,12,1,0,0,0,1,6,0,0,1,1,1,2,3,0,16,0,1,5,1,3,0,24,0,6,23
1.5.8.4,61,13,6,22,0,19,21,13,18,20,4,41,51,9,1,25,20,22,2,42,0,14,0,21,5,6,88
1.13.11.79,104,151,183,168,146,110,125,29,37,110,61,66,40,216,277,200,61,17,43,21,8,4,1,269,36,60,115
1.6.1.1,81,12,49,9,0,17,11,17,9,0,28,7,295,23,2,2,97,7,3,15,0,19,0,1,1,9,5
4.1.1.95,0,44,30,21,0,5,9,15,7,1,0,7,20,0,1,0,6,30,0,11,8,49,1,9,4,5,25
2.6.1.85,789,3182,783,1462,486,6087,2800,1492,556,496,1090,1185,457,631,303,508,636,1487,514,416,607,429,240,801,231,540,1294
2.1.1.77,32,0,10,39,0,1,19,0,0,0,1,7,1,19,1,1,4,40,0,1,1,2,0,4,0,1,1
2.1.1.143,9,3,10,5,0,25,9,12,22,0,1,15,0,0,1,0,13,39,0,21,0,9,0,0,0,9,29
4.1.2.49,0,0,1,0,0,0,0,2,1,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0
4.1.2.42,147,41,66,38,2,43,46,74,24,110,12,114,45,2,85,42,40,48,6,57,0,36,1,38,23,14,26
3.5.1.32,169,71,250,275,1,488,524,312,185,49,231,469,400,131,80,241,221,390,78,207,43,142,48,130,30,136,230
4.2.2.2,169,71,44,59,1,231,76,192,102,32,5,88,42,7,110,115,161,207,378,77,73,97,83,45,54,24,103
2.3.3.8,14,8,9,7,0,0,8,6,3,0,6,26,114,20,4,2,14,4,4,152,5,100,6,1369,12,12,5
3.5.1.77,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0
1.2.1.5,248,68,73,24,72,71,23,46,79,41,82,126,138,5,25,65,83,38,28,86,10,130,2,123,37,39,133
1.13.11.38,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,1,15,0,1,1,0,0,0,1,0,0,0
1.1.1.310,0,1,0,4,0,1,5,0,0,0,0,9,1,1,0,0,1,1,1,2,0,5,0,4,2,0,0
4.4.1.24,4,30,39,2,5,0,1,3,46,2,8,18,1,0,1,1,5,13,3,10,8,4,0,20,0,1,27
2.7.7.70,0,178,12,14,0,35,351,38,12,0,59,0,4,1,2,0,3,41,18,23,10,7,17,17,0,2,17
1.3.99.4,97,26,46,27,0,172,32,35,28,57,6,107,66,2,10,76,138,58,20,76,44,55,11,83,36,26,84
1.1.1.30,120,105,34,84,0,60,28,18,3,43,0,73,6,26,73,62,76,58,38,76,6,51,20,39,6,42,268
1.14.12.3,4,0,7,1,0,1,1,0,2,1,0,2,1,0,0,0,3,4,0,6,0,0,0,0,0,6,0
2.7.1.20,23,1,3,1,0,34,6,0,2,2,0,23,15,0,2,0,13,8,2,13,0,5,0,20,1,3,0
3.5.1.16,57,3,30,24,0,4,29,7,32,25,12,31,30,0,4,1,14,17,4,31,22,12,40,9,3,15,8
2.8.3.15,1,1,1,1,47,0,2,1,1,28,2,0,30,4,8,0,2,2,1,0,0,8,0,12,0,8,0
1.14.13.172,10,1,19,7,0,7,1,3,3,18,1,10,4,0,1,19,3,12,61,10,1,12,5,7,0,5,17
1.7.1.6,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
3.5.1.81,82,94,75,115,1,73,57,91,133,109,13,227,75,3,54,6,28,74,49,703,70,465,88,119,28,97,222
3.5.5.7,24,1,7,3,0,1,1,4,0,1,2,5,2,0,1,0,4,0,1,3,0,5,0,18,1,5,13
1.1.99.31,20,8,2,1,0,12,0,7,13,3,0,8,36,0,14,1,21,1,2,3,0,2,0,4,0,1,4
4.1.1.76,6,3,13,3,0,0,0,6,6,1,34,2,36,1,14,1,19,1,5,1,1,9,0,6,4,24,62
3.1.6.8,222,535,26,138,0,48,42,62,33,26,0,46,217,2,0,45,2,126,15,24,1,38,21,131,9,20,164
1.1.1.308,1,0,1,0,0,7,0,1,0,0,0,4,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0
1.6.5.3,66,632,78,123,228,216,723,432,18,20,30,205,89,79,6,58,85,96,1,59,22,45,1,81,48,201,94
3.4.13.9,1246,1560,237,2211,398,805,937,1055,1237,661,198,1367,532,402,441,735,2560,1060,526,773,875,782,877,789,223,647,1105
1.2.1.27,5,0,29,2,2,0,1,1,3,1,20,6,32,2,1,0,21,0,1,1,0,0,0,13,0,7,1
6.2.1.17,8,2,41,2,0,5,1,5,5,17,21,10,75,2,7,6,20,0,8,19,1,7,0,3,1,8,14
