,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
5.4.2.2,31527,22180,4459,47647,103,28126,25985,30890,11232,3654,4248,8823,9937,3013,5334,3048,9264,19643,9191,6992,3532,7988,4092,2647,1365,10686,10244
2.1.1.10,369,214,165,203,0,222,392,193,144,36,610,132,148,166,1148,213,958,385,276,115,34,123,52,139,82,162,204
1.14.13.82,4,86,17,13,534,287,98,11,10,0,41,29,61,450,6,26,15,67,5,21,0,31,1,36,5,22,42
1.13.11.2,151,167,111,136,2,77,120,86,71,156,172,514,217,52,10,93,96,74,75,213,32,218,27,1333,109,193,199
1.18.1.-,6,40,22,7,1,21,12,3,5,47,1,18,10,3,84,26,14,13,7,44,2,59,1,25,1,24,32
3.1.1.24,24,321,41,88,0,430,281,382,66,41,3,30,61,46,53,99,283,89,7,85,3,119,1,59,23,184,316
3.5.1.2,23,11,33,16,5,12,61,13,3,0,42,35,5,3,6,1,5,4,3,7,0,8,9,55,1,13,64
1.8.99.-,161,14401,181,3040,88,365,2123,1495,1155,501,219,460,659,165,203,295,1738,2217,333,594,3057,495,6573,148,266,694,946
3.1.6.1,74,959,638,576,3,413,583,395,202,146,148,270,125,225,162,1242,275,434,162,191,76,282,44,163,57,44,204
3.1.1.95,78,4,48,1,0,23,2,2,2,5,2,7,0,18,2,3,0,1,62,8,0,5,0,12,16,1,1
1.18.1.1,2,0,2,0,0,0,13,10,8,0,0,13,19,0,2,0,3,2,1,11,0,1,0,19,0,1,0
1.13.11.29,58,1,0,7,0,0,9,1,22,2,0,17,2,0,0,1,21,2,1,0,0,3,0,3,0,0,22
3.1.1.n2,107,3,20,250,0,115,39,21,13,4,54,72,13,23,4,1,63,49,60,49,32,39,16,21,6,7,81
1.3.1.34,8,45,133,45,0,140,119,59,58,265,156,308,337,71,327,102,444,160,249,262,69,161,56,254,88,168,291
1.14.13.84,11,14,1,1,0,26,4,5,15,3,0,28,19,0,20,0,11,14,2,11,1,18,0,22,4,1,9
3.1.11.-,107,44,56,27,3,63,50,38,125,62,14,166,81,44,105,42,170,252,76,22,3,41,3,97,61,54,48
1.8.1.-,761,1615,651,7815,297,1758,2513,3159,1967,912,673,4917,1943,460,406,921,1000,2123,3299,1723,906,1171,1124,835,223,1296,2562
1.3.1.25,35,2,30,37,1,2,39,29,26,0,1,4374,69,0,0,31,425,181,102,162,1,156,0,1206,50,303,251
1.14.12.10,0,0,8,24,0,1,5,5,2,2,60,43,40,0,5,1,15,12,0,11,0,14,1,24,0,10,15
3.6.3.4,65,128,261,385,81,126,265,214,175,161,122,245,116,61,158,71,484,295,359,398,393,675,633,193,57,526,1551
3.6.3.43,343,1605,325,1008,79,295,170,297,69,10,134,257,156,157,110,149,322,460,104,154,67,214,22,288,55,149,177
3.5.1.54,2,3,24,10,1,13,4,2,4,15,4,105,3,42,4,62,28,4,5,21,1,18,0,32,10,29,23
1.14.13.149,5,4,28,1,1,6,0,0,75,457,480,40,186,3,3,26,56,11,6,9,13,7,1,3,4,8,3
5.3.3.18,9,26,30,1,2,5,11,17,36,0,0,49,106,2,108,28,10,5,5,13,0,13,0,70,12,0,28
2.3.1.174,17,64,24,30,0,52,32,26,3,9,35,34,99,9,15,4,101,41,73,60,15,30,13,51,19,14,50
6.2.1.30,783,3801,218,494,2,195,659,531,160,234,122,329,631,146,136,125,354,394,373,185,40,219,125,226,204,488,470
2.8.3.20,13,26,12,3,1,7,12,5,8,28,7,23,19,4,18,32,19,27,4,44,0,31,19,33,40,14,62
4.1.3.4,105,33,49,13,1,144,19,33,15,3,4,31,12,27,19,31,52,48,15,35,6,40,14,45,19,27,64
1.2.1.3,3480,11072,1908,15280,275,17026,26847,24519,5033,2331,6071,6947,6237,1377,3191,1454,5576,6049,4053,1478,1854,2674,2469,2162,1810,2242,2728
1.2.1.20,132,101,103,160,1,35,176,142,44,41,48,261,76,53,16,11,116,62,9,91,17,89,23,160,66,51,190
4.1.1.44,459,429,570,1204,6,2298,1398,1143,427,274,847,639,1274,647,3407,1062,4310,1110,2279,717,35,838,19,201,310,399,964
1.14.13.2,15,7,35,4,0,3,9,6,10,1,1,9,71,6,3,1,18,7,0,10,0,8,2,37,3,8,46
1.5.3.1,332,176,86,63,4,93,71,80,83,147,176,135,191,35,30,114,99,125,330,168,17,179,35,223,12,174,274
2.8.3.13,102,151,163,50,2,79,222,60,56,12,14,97,144,29,135,56,238,40,250,199,58,140,53,132,33,62,136
1.13.12.16,2580,5603,1043,11338,55,10469,8952,10829,3296,1365,5662,5056,5079,853,2537,1310,6365,4348,4428,3453,1230,3061,1549,5526,1280,2537,3509
2.8.3.6,10,69,102,23,0,32,26,18,15,61,41,109,106,1,60,4,59,28,63,27,38,37,9,115,2,16,76
1.2.7.8,538,247,390,2317,1,221,166,328,1231,665,139,438,214,161,93,121,250,465,341,317,388,356,316,344,42,86,487
6.4.1.4,181,1233,231,259,0,152,690,295,367,160,10,317,349,34,155,83,244,741,51,283,535,263,204,201,150,174,496
4.2.1.116,184,138,183,135,30,190,398,109,186,52,158,241,102,32,106,108,195,130,31,90,20,94,16,173,26,60,217
1.3.8.4,75,88,90,28,2,115,184,51,31,76,113,225,308,10,158,7,110,46,11,70,18,55,9,215,97,33,283
1.8.4.-,9,63,31,11,0,73,29,23,73,6,25,290,361,2,18,15,53,13,174,34,26,39,18,120,1,21,104
2.3.1.187,5,14,7,7,0,30,30,16,26,45,7,15,16,6,26,1,62,6,5,29,1,15,20,6,19,13,34
2.1.3.10,44,8,42,17,0,25,12,13,11,3,27,55,14,3,4,2,42,23,7,10,22,27,55,40,6,0,9
1.14.13.131,7,114,74,14,20,70,318,40,31,46,10,148,20,1,4,80,76,43,5,40,25,23,4,35,43,24,7
1.14.11.17,8,3,3,14,0,1,8,3,4,1,6,25,53,24,0,1,54,7,2,30,3,27,1,58,6,6,30
5.1.99.5,5,0,14,16,0,52,7,11,23,17,7,21,13,2,5,39,38,28,1,15,14,6,2,19,5,5,49
3.5.1.91,1574,4700,511,1313,3,225,1230,1647,1003,245,276,648,4366,162,197,57,1437,379,623,687,84,363,49,187,112,1487,3516
2.1.1.200,91,193,76,19,0,5,57,26,6,10,0,47,3,1,5,1,14,9,7,41,1,12,20,78,1,25,40
3.5.1.38,0,0,2,1,0,1,3,3,0,1,0,21,24,0,0,1,14,2,0,4,0,2,0,11,2,6,3
1.11.1.9,944,1233,100,985,0,926,509,432,424,282,632,260,143,211,201,127,334,344,440,220,215,258,112,108,54,150,215
2.7.7.13,678,3839,970,5391,451,2511,1936,1863,1971,1170,721,1177,931,678,650,767,1932,2223,1412,1385,1095,1023,496,576,233,1294,2096
3.4.24.15,22,90,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.1.3.17,134,107,411,11,2,137,43,18,61,34,14,1265,76,60,72,1321,1961,397,1001,693,161,585,319,4380,3704,745,6020
1.14.15.3,7,6,23,1,0,0,11,6,13,3,5,29,24,1,3,1,8,1,3,13,0,8,0,88,2,10,65
6.3.2.39,0,0,1,0,0,1,2,15,1,0,0,9,5,0,0,1,17,5,1,4,0,22,0,2,1,5,45
3.1.3.62,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,8,16,0,0
4.4.1.22,73,8,2,17,0,1,19,16,0,2,0,15,40,3,3,0,9,21,3,2,0,1,1,10,1,3,27
2.5.1.-,615,3938,731,1570,312,7817,1550,1851,1053,786,799,830,760,506,1194,539,1591,1140,1546,798,338,775,245,604,453,942,1369
4.2.1.20,522,200,388,1656,15,3112,1514,1202,506,944,268,393,560,346,2889,917,2303,834,1716,419,118,652,148,204,205,549,973
1.1.1.304,67,289,45,140,0,666,304,131,113,6,320,111,54,27,205,168,379,188,446,112,91,194,93,138,62,85,180
2.8.3.5,20,10,63,18,0,85,20,30,43,8,3,185,82,3,83,3,75,45,56,83,6,28,13,144,6,51,148
3.1.1.45,56,4,48,4,2,4,8,9,1,1,0,54,33,44,21,1,63,8,75,25,0,15,0,62,7,16,73
1.14.14.11,3,0,3,0,0,23,1,11,1,12,1,7,1,0,0,1,6,0,0,0,0,0,0,8,3,7,3
1.3.1.28,1,120,23,5,0,0,138,8,0,0,91,38,10,0,2,0,3,3,3,7,7,8,14,38,2,14,4
3.3.2.1,2,21,0,1,0,1,38,0,30,8,0,2,2,0,1,0,0,1,0,1,6,18,0,25,0,5,4
1.1.1.n4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1.3.2,578,549,319,635,0,1873,934,3391,714,298,469,1173,513,176,310,185,957,835,718,965,205,919,319,253,107,379,667
3.5.1.86,12,0,14,0,2,4,1,0,3,2,22,4,0,16,7,0,17,3,2,1,0,15,0,18,23,26,98
1.1.1.60,3,20,9,13,1,23,14,4,2,2,3,15,68,3,1,0,37,7,5,12,1,8,0,18,9,10,85
3.1.1.92,2,0,27,2,0,0,3,1,1,4,0,7,2,0,3,40,12,0,0,13,2,9,0,20,14,1,3
1.1.5.2,46,30,12,8,1,146,5,130,14,5,5,54,31,1,10,15,62,17,29,19,3,59,1,32,0,21,109
1.6.-.-,424,1384,370,884,142,875,1217,1103,1160,335,360,1085,1007,364,1058,719,934,753,787,530,114,396,123,671,412,426,1035
1.11.1.10,14,21,16,8,1,17,22,1,34,3,1,59,24,14,15,23,69,8,15,9,0,31,1,22,1,2,25
4.2.1.25,15,4,4,22,27,40,5,9,3,6,12,34,9,1,64,3,25,3,4,17,0,34,3,52,2,2,43
5.5.1.1,6,5,8,3,0,4,4,4,10,9,1,13,2,28,4,44,70,14,65,11,2,4,21,20,7,4,5
5.3.3.4,1,0,23,0,0,0,1,0,3,2,2,13,0,0,0,0,4,0,7,10,0,5,0,5,0,4,2
1.13.11.1,68,62,1,136,1,2,8,10,17,16,1,17,4,23,8,4,9,8,4,65,1,82,3,283,1,6,26
3.5.1.11,51,116,64,155,0,64,85,236,84,11,5,104,10,41,4,5,54,90,13,58,36,47,26,181,57,540,293
1.2.1.39,33,7,11,8,0,40,30,16,148,37,8,84,19,4,3,52,25,108,8,17,1,14,2,47,7,16,57
1.14.12.13,7,37,0,5,2,8,6,7,3,0,52,13,4,0,74,0,13,6,1,9,0,0,0,3,0,0,14
1.1.5.8,81,34,39,3,1,35,30,34,5,23,2,24,16,6,98,31,48,30,4,11,0,28,13,20,17,27,57
4.2.1.118,0,3,9,6,0,0,1,5,0,0,0,16,1,2,1,0,11,0,0,1,0,3,5,2,0,0,3
1.13.11.3,9,1,16,8,0,15,9,11,27,6,6,27,3,3,5,1,5,5,1,7,0,10,2,43,1,15,71
5.5.1.2,2,1,7,6,0,17,22,6,6,3,1,51,33,1,5,66,50,100,152,61,5,63,2,20,5,29,254
3.1.1.32,144,2045,74,290,3,278,328,320,160,76,21,115,118,99,189,63,113,241,24,79,309,82,342,117,29,49,105
1.10.3.14,326,1713,212,1647,59,446,448,738,713,323,359,650,672,179,329,150,633,457,895,714,439,546,228,267,100,627,738
1.4.99.-,82,2,72,34,0,38,37,36,14,29,5,225,68,5,77,4,105,55,27,47,0,36,2,149,28,23,469
1.7.99.4,8476,8420,11930,5905,897,9880,7572,9987,4747,3252,9502,11711,10754,2574,8725,59751,69676,19829,32645,35260,7114,16361,11907,56617,64874,37194,143776
1.7.1.4,272,137,471,132,1,380,244,140,304,72,220,272,180,18,202,181,385,121,211,243,59,161,135,198,45,76,321
1.1.1.192,20,120,56,244,1,212,50,88,48,56,11,158,28,37,4,56,128,232,194,107,23,171,87,133,71,152,336
3.6.3.2,796,1932,382,2171,10,2599,3143,1911,1080,612,1407,1959,997,433,530,1045,1811,751,1401,782,482,744,781,823,446,560,1030
5.4.99.5,427,3,31,78,1,55,47,75,127,234,54,45,51,1,68,0,48,48,124,64,42,31,29,3,6,45,209
3.4.11.14,720,2567,1245,280,64,361,1297,589,419,207,30,1957,395,195,335,1278,3476,1322,540,748,58,265,72,2800,476,296,691
1.2.1.48,28,121,938,19,0,0,117,3,6,19,1,22,55,0,0,0,3,17,0,2,0,2,0,315,1,63,3
4.3.1.7,150,1190,286,2189,0,760,914,1756,271,143,153,933,149,38,360,76,526,892,427,139,542,314,560,365,227,1684,1541
6.3.1.11,109,128,45,19,2,19,32,31,26,6,7,167,49,14,138,2,114,38,82,53,19,33,11,122,29,101,76
4.1.2.25,382,1209,97,729,1,656,469,279,378,220,285,134,211,192,109,184,436,384,441,95,162,113,334,114,162,245,327
2.7.9.2,4227,7317,874,1861,883,2447,4820,2341,2210,899,2377,1423,1688,1105,2056,1014,2882,1958,2067,938,470,1001,736,849,734,1185,1685
1.10.3.10,670,1559,338,319,193,356,105,91,79,35,9,314,113,31,20,109,277,78,257,390,70,476,85,231,270,147,409
2.1.1.140,37,0,30,3,0,21,4,2,2,2,1,99,2,0,0,2,2,0,0,1,0,6,0,15,1,5,0
2.1.1.79,34,54,41,58,0,82,29,52,14,9,50,148,65,2,22,55,72,57,31,133,1,88,0,144,56,43,111
1.14.19.-,69,1,883,21,0,45,131,37,46,6,4,112,82,2,7,7,79,9,7,59,1,78,2,68,18,104,90
1.1.1.107,130,4,39,1,1,1,22,10,9,6,4,24,3,1,4,2,7,14,75,10,0,7,1,62,9,4,16
2.6.1.18,62,25,3,10,0,32,14,22,6,6,102,118,134,3,85,3,92,11,13,25,4,23,14,62,37,32,68
2.7.11.1,25302,19160,15619,23075,2512,58665,24506,29654,18573,10605,34924,8677,32540,13694,74808,23530,72588,19716,44545,11420,5594,12862,4608,6263,8972,9334,25374
2.5.1.3,2,25,2,34,0,2,22,16,0,5,1,16,3,0,2,0,18,43,71,4,6,27,15,34,15,13,39
5.4.4.3,11,1,1,14,0,2,12,22,27,1,61,130,49,35,1,9,30,20,0,5,1,27,3,24,9,77,54
1.17.1.4,2288,1985,425,4253,82,4353,2694,2420,883,642,836,1018,790,247,698,162,1014,887,1237,727,461,1014,548,500,355,602,1181
5.4.4.2,267,629,88,377,0,68,391,70,360,879,141,155,428,15,179,75,189,119,33,138,45,232,147,41,56,614,127
6.3.2.-,1521,4868,1358,2181,412,1667,3041,1635,1506,1151,908,1030,1071,593,1209,907,2247,2013,1689,1011,773,697,651,783,456,1107,2292
4.1.1.1,121,226,33,10,1,6,64,34,36,6,16,64,31,4,25,53,120,34,59,10,0,23,13,71,48,14,78
4.1.1.86,84,2,3,14,0,22,5,5,15,2,3,15,22,3,78,8,40,15,7,13,0,4,1,39,19,7,13
2.6.1.76,71,7,98,16,1,13,27,48,16,50,58,159,29,22,5,43,78,80,119,56,8,36,11,87,118,96,144
1.1.1.42,2175,11626,1049,3185,266,4147,6185,2750,1048,493,457,1738,782,984,3272,1217,2640,3171,1967,732,244,992,363,1053,418,1584,1585
4.1.99.3,70,639,133,76,99,87,198,133,44,5,12,403,77,10,12,4,112,71,17,63,3,48,13,266,53,84,157
1.4.3.16,261,999,139,1149,1,363,231,896,142,117,44,221,167,264,27,327,359,389,793,221,298,331,114,351,76,194,450
4.1.3.38,74,817,50,161,1,9,207,209,53,3,67,57,30,3,9,4,53,180,2,58,5,59,33,226,4,5,71
5.3.3.8,2,1,40,7,0,24,18,12,0,23,2,9,17,2,6,1,40,3,73,46,2,44,4,163,12,16,53
4.1.1.20,8,91,31,14,1,14,22,15,23,26,6,107,58,2,84,34,28,18,8,148,2,139,0,244,12,47,117
2.7.1.165,613,61,323,183,2,152,161,65,105,96,2,59,69,22,136,13,296,81,117,66,47,71,3,60,21,86,83
3.1.3.1,200,3810,266,612,6,396,904,398,315,234,170,329,325,65,272,203,326,842,205,205,105,203,58,168,156,328,544
2.3.3.16,8990,14809,2295,6115,730,5585,9912,4490,1272,446,270,2902,1394,923,2189,1124,2251,3979,1503,894,787,1366,1210,2107,1252,2381,3163
2.5.1.84,87,3017,48,646,0,239,1274,399,1424,288,1386,304,3902,130,18,393,157,1025,147,324,1964,336,2413,53,102,252,202
5.3.3.6,316,505,183,150,2,138,215,169,77,2,92,54,57,3,10,7,13,48,68,28,5,42,21,53,44,134,39
3.1.3.16,4926,4478,4775,8570,1058,14507,6750,9458,4730,3040,9655,3173,11537,2414,7915,3836,16810,4570,9209,3515,3867,4168,17061,1333,1932,3421,7273
1.10.5.1,35,195,54,7,1,25,67,54,16,6,4,4,31,9,14,33,16,20,7,10,5,20,2,35,5,5,38
1.8.4.8,11,119,47,48,0,70,76,51,17,0,1,19,128,5,56,0,92,34,61,39,4,30,7,41,2,2,115
1.6.99.1,22,18,26,9,3,20,5,5,0,0,100,55,9,30,12,5,6,4,4,8,0,21,0,8,6,4,5
6.5.1.-,139,3878,192,708,3,261,589,195,176,259,551,266,171,73,129,72,238,284,30,76,131,99,29,90,53,186,558
1.8.7.1,308,56,102,115,78,660,296,317,47,22,305,329,203,193,2151,421,1498,449,824,107,21,91,7,478,102,115,358
1.1.99.35,83,13,47,29,0,12,14,11,12,7,50,62,56,4,1,4,24,21,12,12,2,4,0,44,9,7,127
5.1.99.4,55,81,39,27,0,6,20,67,24,40,66,55,75,73,7,27,44,96,17,46,12,35,2,26,9,13,22
5.3.1.24,8,50,32,34,0,1,28,4,8,23,0,107,44,0,0,2,27,21,58,23,1,24,0,72,2,5,82
2.5.1.17,589,1841,618,5425,47,3640,2275,2096,1388,782,479,1209,971,580,549,446,1861,2009,1855,890,674,765,914,659,471,1960,2422
2.7.7.65,1255,992,1875,1206,66,1094,1092,665,808,322,427,1072,880,173,461,804,1246,749,681,638,484,690,497,987,488,871,4680
1.97.1.12,759,10848,330,5041,103,1558,5784,2808,1500,980,839,846,1210,748,389,1182,1745,7167,285,339,1941,438,808,210,216,1152,1987
1.3.1.38,17,8,63,85,1,142,56,39,97,1,10,54,80,4,4,23,43,106,8,15,5,54,0,24,299,22,33
1.4.1.3,105,133,47,4306,0,735,211,579,427,77,5,741,284,57,73,5,170,242,120,136,69,202,158,155,128,1661,829
1.1.99.-,160,181,238,682,1,132,173,72,213,107,67,692,240,59,72,62,302,174,217,391,346,385,548,680,99,186,800
1.16.3.1,1057,9525,206,1590,2391,2277,6423,3046,424,372,630,472,442,418,570,322,549,413,643,268,574,198,1600,673,1228,5800,1892
1.4.1.13,4078,1489,894,1107,4,1909,688,1297,525,236,1403,1491,1482,573,8064,1486,7915,629,4440,596,96,688,162,1171,781,594,1028
2.1.1.187,1,3,4,0,0,55,32,27,26,2,1,12,28,21,0,61,61,13,1,19,2,6,0,11,3,3,6
2.5.1.49,1898,3700,1170,2777,140,8748,2807,3006,1006,646,1820,1448,1870,919,2742,1014,3038,2172,1394,766,479,663,364,817,434,2688,1770
1.2.1.n2,106,94,85,126,0,47,80,27,224,40,3,279,67,2,3,2,151,52,68,75,6,54,0,69,33,166,67
2.8.3.-,3061,2977,919,6448,239,6876,3193,3057,2343,882,1253,1175,1378,767,1633,1011,6437,2509,2301,1687,1390,1868,1412,592,447,1584,2235
3.1.30.-,167,698,154,1041,32,361,678,1318,952,292,53,263,119,57,6,38,155,406,343,354,164,353,113,120,75,415,689
2.1.1.254,0,0,0,5,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.6.1.19,181,116,87,22,163,140,614,62,14,38,154,119,64,10,67,96,246,41,18,55,28,79,45,257,28,30,79
1.5.1.38,301,64,98,74,1,296,73,113,24,26,6,66,42,4,295,81,223,77,4,55,7,78,16,49,26,49,105
3.5.1.41,5,32,36,9,1,193,4,10,31,57,2,47,6,5,5,29,76,29,22,57,42,64,19,34,74,22,30
1.14.13.113,47,76,22,10,0,114,6,15,28,4,53,37,3,2,3,64,56,3,4,27,2,14,1,9,10,12,56
2.6.1.88,18,1,12,16,0,41,2,0,3,0,45,89,42,0,2,1,8,29,128,48,1,43,23,59,0,8,1
4.1.99.12,116,273,43,172,0,37,121,129,112,2,105,184,53,86,103,65,86,70,130,59,51,68,18,122,28,106,60
2.7.4.16,79,72,16,5,117,92,664,112,5,11,2,40,3,50,70,48,17,21,11,36,6,31,31,26,36,172,282
3.1.3.18,68,829,72,344,141,86,50,462,93,13,98,184,52,46,17,91,88,105,105,97,156,87,132,146,15,85,230
5.2.1.2,3,108,117,13,2,71,21,30,4,7,5,45,25,28,9,1,49,26,58,21,11,31,19,62,2,67,276
1.13.11.27,43,57,33,21,0,14,10,4,22,7,1,96,56,0,10,0,13,13,44,25,1,11,0,54,30,43,113
1.1.1.2,17,26,86,58,1,127,80,19,77,33,50,100,92,119,83,34,120,65,33,159,2,359,44,80,9,117,93
1.1.1.346,1,302,66,22,1,149,21,94,43,60,3,34,2,2,0,2,81,19,4,192,10,161,0,80,15,27,48
1.1.99.32,415,0,55,77,0,2,6,17,2,2,0,15,1,1,1,3,1,6,0,2,1,9,0,2,1,22,46
1.2.1.26,10,6,69,24,4,190,31,47,25,53,15,95,49,17,13,8,68,111,94,62,3,61,20,28,28,18,79
2.5.1.26,12,18,37,41,1,21,61,50,22,37,4,32,19,21,12,2,60,53,47,57,44,70,7,45,26,57,248
1.14.12.-,2,4,10,3,28,17,3,6,32,4,27,22,32,1,10,7,2,4,3,7,0,14,1,33,10,0,59
1.18.1.3,127,37,150,13,0,11,92,263,206,37,501,15,749,30,63,144,920,60,45,29,11,109,4,60,121,111,75
1.3.1.42,0,45,4,7,0,0,4,1,8,7,0,30,30,0,2,1,3,20,1,3,0,7,1,44,1,13,31
3.2.2.21,113,40,236,5,1,7,6,12,14,2,28,25,3,0,149,0,66,20,78,20,5,27,1,21,1,6,12
6.1.1.-,193,131,178,22,0,45,25,13,11,3,2,133,197,3,2,3,62,20,3,25,0,22,14,76,2,12,47
1.1.1.157,534,6527,473,9431,144,5775,8920,4788,832,625,266,1085,702,132,824,49,1130,3265,3337,1054,992,1880,2643,225,431,1649,2107
4.3.2.3,74,39,88,4,1,1,4,1,2,1,1,16,3,23,7,0,30,14,3,13,7,13,0,11,4,8,30
3.1.1.81,1388,495,319,227,1,526,245,219,95,239,214,140,184,512,1716,421,1492,242,908,448,110,178,77,92,129,79,316
2.5.1.44,244,1,14,53,0,57,5,11,102,232,115,24,28,4,1,0,14,66,253,16,10,1,2,11,15,42,40
4.1.1.17,349,1642,188,569,2,177,665,302,326,171,142,402,419,267,253,91,96,344,386,115,49,132,47,421,123,468,495
3.4.15.5,1920,4748,1412,2614,335,5617,1772,1626,2446,1191,383,932,676,776,361,371,480,1367,540,1112,489,932,371,369,150,905,1147
3.5.1.46,72,167,43,116,0,169,197,117,52,101,15,130,74,2,11,57,67,161,234,104,32,54,21,65,21,43,226
2.1.1.17,1,129,30,584,0,2,103,363,255,118,0,91,234,81,6,6,30,153,3,67,12,54,25,0,5,46,70
1.17.5.2,15,57,41,26,0,53,33,31,31,14,8,174,84,5,8,124,97,31,12,55,7,40,16,106,70,32,163
1.5.99.14,76,228,2,14,0,26,2,2,0,1,0,20,9,3,1,0,25,1,0,16,0,51,0,17,0,1,0
6.2.1.33,0,0,10,2,0,0,0,0,1,3,2,16,1,0,3,0,4,3,0,4,0,4,0,6,1,2,1
2.7.7.72,62,1,6,364,0,110,69,153,116,10,90,283,95,37,3,9,16,226,114,56,21,79,18,35,1,77,340
1.10.2.2,378,2693,112,499,47,338,1347,990,141,72,170,306,433,239,19,137,128,385,17,84,56,146,65,252,65,728,208
1.14.13.8,22,4,10,3,1,1,3,0,0,0,0,0,2,0,1,0,0,0,0,46,0,31,0,0,18,0,46
1.8.-.-,120,107,118,106,0,265,111,105,308,16,157,360,281,48,210,66,194,178,384,112,52,117,35,168,43,103,226
1.14.13.24,31,55,28,25,1,52,21,20,89,35,10,31,54,4,7,4,72,50,6,24,9,19,3,46,4,4,47
1.3.1.84,167,157,315,60,4,71,102,240,342,103,1145,82,569,31,298,85,1201,81,148,193,23,232,33,93,64,84,172
6.3.5.2,860,2654,391,1418,70,1534,1541,1104,1028,372,1322,535,507,763,2614,837,2752,846,1705,564,178,581,298,617,412,1087,892
2.1.-.-,49,1,63,89,69,187,118,94,92,0,0,76,81,0,57,0,1,135,7,17,12,31,1,12,17,26,13
1.1.99.39,35,32,2,10,0,23,17,30,22,59,113,67,154,26,3,5,54,14,3,17,3,12,0,6,0,48,279
2.7.7.87,1328,2546,963,2166,4,2000,2812,3629,2096,2441,981,1533,2120,601,1267,992,2413,2670,4298,1462,512,1569,707,1175,256,1313,2799
1.3.8.6,8,156,40,9,62,55,24,14,4,1,29,75,21,3,58,2,21,13,4,10,10,17,0,28,4,12,47
1.13.11.-,95,65,52,41,1,92,19,22,50,12,47,317,151,21,4,65,134,61,38,80,24,81,35,124,53,297,139
2.3.1.79,321,87,84,45,1,134,67,78,81,5,73,118,42,2,1,96,97,38,214,101,39,39,12,82,35,46,225
1.3.1.53,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,2,0
1.14.12.15,2,3,5,1,0,1,3,1,1,0,1,21,3,0,3,0,1,2,0,2,0,6,0,7,10,1,3
1.1.1.311,1,1,0,2,0,0,0,5,4,0,0,2,0,303,523,38,88,62,76,21,2,13,3,9,9,2,24
1.1.1.163,7,5,4,878,0,362,32,36,233,77,83,111,77,1,6,21,24,18,8,49,117,55,90,19,2,9,832
3.2.1.28,55,45,113,402,0,447,544,433,198,136,208,301,138,34,77,68,137,306,81,56,16,52,74,64,62,108,254
3.1.3.23,1884,3662,1039,2583,318,3405,1876,1827,1545,1224,923,1143,659,534,1562,701,2002,2010,2045,911,282,876,187,1199,418,492,1479
2.4.1.57,1156,365,600,1122,76,2951,1126,1376,814,405,1155,737,1997,617,6405,1397,3958,830,4096,513,45,535,74,375,322,807,533
2.7.3.-,53,2,3,21,2,4,10,14,1,2,2,9,39,0,1,2,12,4,3,11,0,14,0,18,6,0,21
3.2.-.-,485,949,150,1443,1,956,2066,1278,1090,391,804,1269,626,246,48,373,1138,872,925,496,164,266,130,492,301,806,645
3.11.1.2,22,25,1,8,0,14,32,107,3,3,4,11,22,6,7,16,24,4,3,15,0,7,0,12,26,26,23
1.2.1.22,270,28571,110,3131,307,1549,3227,2540,308,257,615,124,120,113,222,16,68,1146,112,171,158,271,281,1542,626,647,391
4.1.-.-,8,28,386,89,0,19,90,29,18,4,50,39,66,19,1,0,23,51,1,33,1,18,14,46,32,20,46
1.1.1.69,735,334,224,484,0,539,543,437,124,30,213,266,344,127,1930,235,1386,226,1406,210,45,261,74,74,87,153,258
3.5.99.4,56,4,5,3,0,4,8,14,2,0,1,18,57,71,32,19,6,17,4,18,0,9,0,3,1,1,6
2.3.2.2,218,152,42,32,2,43,46,66,113,63,23,167,115,4,12,37,48,25,84,101,20,71,14,145,17,33,138
1.9.3.1,1458,10902,5216,6384,675,8114,13119,5786,2523,1219,1229,8270,3312,1996,957,1758,2476,2882,1379,2019,818,1786,658,3244,717,7886,4808
1.1.1.6,807,2010,322,5643,19,3466,5531,5606,1554,333,617,2149,600,236,856,509,1743,1731,879,818,234,963,290,699,339,804,1313
4.3.1.15,2308,2664,413,2863,89,4585,1586,1099,1066,294,1342,435,511,106,626,102,666,741,1083,368,347,455,214,190,106,330,917
1.5.1.40,68,2,5,6,0,91,5,1,0,0,3,10,2,0,0,0,0,1,0,5,0,4,0,1,1,14,1
2.5.1.77,5,45,4,0,0,31,10,28,12,7,0,8,1,1,3,45,8,21,3,8,0,11,1,8,0,8,28
1.1.1.306,37,128,17,24,0,85,242,40,16,2,2,154,69,36,64,6,22,26,4,6,1,25,0,73,5,62,59
1.2.99.8,103,3,44,13,0,7,9,19,6,28,3,25,0,1,5,2,24,14,2,17,1,23,2,13,0,0,10
